,Product Name,Product Price,Description,Ratings
119,Snexian GURU 312,₹699,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB4.57 cm (1.8 inch) Quarter QVGA Display0.3MP Rear Camera800 mAh Battery3 Months Company Warranty,3.4
120,Micromax X512,"₹1,149",30 MB RAM | 24 MB ROM4.5 cm (1.77 inch) Display1750 mAh Battery1 Year Warranty,4
121,Kechaoda A27,"₹1,040",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB1.68 cm (0.66 inch) Display800 mAh Battery1 Year Warranty,4
122,Cellecor E8 Plus,"₹1,396",32 MB RAM | 32 MB ROM6.1 cm (2.4 inch) Display0.8MP Rear Camera2750 mAh Battery1 year warranty for device and 6months warranty for accessories,3.7
123,Cellecor E6+,"₹1,236",32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.8MP Rear Camera2750 mAh Battery1 year warranty for device and 6months warranty for accessories,3.5
124,itel it2163s,₹999,"32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera1200 mAh Battery12+1 Months Warranty for device  (Special offer) 
6 months for accessories",4.1
125,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.3
126,GREENBERRI VIRAT,₹799,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) Display2MP Rear Camera1000 mAh Battery1 Year For Mobile,3.8
127,Good One 2192,"₹1,099",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) Display2MP Rear Camera2500 mAh Battery12 Months Warranty,3.8
128,itel it2163s,₹999,"32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera1200 mAh Battery12+1 Months Warranty for device  (Special offer) 
6 months for accessories",4.1
129,itel It2171,"₹1,099","32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera1000 mAh Battery100 Days Replacement Warranty, 1 year warranty for Handset & 6 Months Warranty for Accessories",4.1
130,itel it2163s,₹999,"32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera1200 mAh Battery12+1 Months Warranty for device  (Special offer) 
6 months for accessories",4.1
131,Kechaoda K112,"₹1,480",32 MB RAM | 64 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display0.3MP Rear Camera3600 mAh Battery1 Year Manufacturer Warranty,4
132,GREENBERRI RAFALE,₹899,32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display2MP Rear Camera1000 mAh Battery1 year  domestic warranty,3.9
